locationString,EndLocationString,Start,End,ips,UAs,timestamp
PT/Porto,CN/Shanghai Shi,2022-11-26T15:11:26.6732674Z,2022-11-26T15:24:47.9870715Z,"[""2.82.173.209""]","[""BAV2ROPC""]",2022-11-26T15:11:26.6732674Z
PK/Punjab,PT/Porto,2022-11-26T15:14:08.4136906Z,2022-11-26T15:15:08.1859355Z,"[""43.251.255.84""]","[""BAV2ROPC""]",2022-11-26T15:14:08.4136906Z
CN/Shandong,KZ/Astana,2022-11-26T15:14:31.6168137Z,2022-11-26T15:14:50.2342262Z,"[""113.128.229.114""]","[""BAV2ROPC""]",2022-11-26T15:14:31.6168137Z
IN/Odisha,CN/Shandong,2022-11-26T15:25:35.1173521Z,2022-11-26T15:26:47.4214054Z,"[""122.186.244.206""]","[""BAV2ROPC""]",2022-11-26T15:25:35.1173521Z
CN/Chongqing,TH/Krung Thep,2022-11-26T15:26:18.8959195Z,2022-11-26T15:37:36.5490416Z,"[""219.151.144.201""]","[""BAV2ROPC""]",2022-11-26T15:26:18.8959195Z
RU/Krasnodarskiy Kray,US/Louisiana,2022-11-26T15:26:58.4549857Z,2022-11-26T15:36:04.2036714Z,"[""91.210.25.131""]","[""BAV2ROPC""]",2022-11-26T15:26:58.4549857Z
CN/Gansu,CN/Shanxi,2022-11-26T15:33:52.5116726Z,2022-11-26T15:35:01.3914576Z,"[""125.75.206.244""]","[""BAV2ROPC""]",2022-11-26T15:33:52.5116726Z
US/Louisiana,SE/Uppsala Lan,2022-11-26T15:36:04.2036714Z,2022-11-26T15:38:38.4730941Z,"[""12.29.205.28""]","[""BAV2ROPC""]",2022-11-26T15:36:04.2036714Z
CN/Jiangxi,KZ/Astana,2022-11-26T15:36:45.5639084Z,2022-11-26T15:38:51.1619100Z,"[""182.106.213.108""]","[""BAV2ROPC""]",2022-11-26T15:36:45.5639084Z
TH/Krung Thep,KZ/Astana,2022-11-26T15:37:22.9354799Z,2022-11-26T15:38:58.8774854Z,"[""61.19.228.102""]","[""BAV2ROPC""]",2022-11-26T15:37:22.9354799Z
KZ/Pavlodar,KZ/Astana,2022-11-26T15:37:47.1632509Z,2022-11-26T15:38:56.3043431Z,"[""2.135.240.22""]","[""BAV2ROPC""]",2022-11-26T15:37:47.1632509Z
SE/Uppsala Lan,KZ/Astana,2022-11-26T15:38:24.6415663Z,2022-11-26T15:38:56.3043431Z,"[""79.136.112.163""]","[""BAV2ROPC""]",2022-11-26T15:38:24.6415663Z
CN/Hubei,CN/Shanghai Shi,2022-11-26T15:39:13.3040760Z,2022-11-26T15:41:11.5464046Z,"[""122.189.254.72""]","[""BAV2ROPC""]",2022-11-26T15:39:13.3040760Z
AE/Dubayy,CN/Shanghai Shi,2022-11-26T15:40:05.7164825Z,2022-11-26T15:41:11.5464046Z,"[""91.72.187.242""]","[""BAV2ROPC""]",2022-11-26T15:40:05.7164825Z
BN/Brunei And Muara,CN/Shanghai Shi,2022-11-26T15:40:29.0727100Z,2022-11-26T15:41:11.5464046Z,"[""61.6.206.13""]","[""BAV2ROPC""]",2022-11-26T15:40:29.0727100Z
US/Georgia,CN/Shanghai Shi,2022-11-26T15:40:48.4132518Z,2022-11-26T15:41:11.5464046Z,"[""38.101.201.164""]","[""BAV2ROPC""]",2022-11-26T15:40:48.4132518Z
AT/Niederoesterreich,MK/Centar,2022-11-26T15:41:27.9991147Z,2022-11-26T15:41:48.2552369Z,"[""178.18.162.109""]","[""BAV2ROPC""]",2022-11-26T15:41:27.9991147Z
CN/Shanghai Shi,AT/Niederoesterreich,2022-11-26T15:52:39.7003177Z,2022-11-26T15:55:04.7642946Z,"[""221.130.204.26""]","[""BAV2ROPC""]",2022-11-26T15:52:39.7003177Z
ES/Cadiz,AT/Niederoesterreich,2022-11-26T15:53:05.4913850Z,2022-11-26T15:55:04.7642946Z,"[""88.148.122.123""]","[""BAV2ROPC""]",2022-11-26T15:53:05.4913850Z
CN/Shandong,VN/Nghe An,2022-11-26T15:55:10.2639678Z,2022-11-26T15:56:21.5859462Z,"[""124.133.84.73""]","[""BAV2ROPC""]",2022-11-26T15:55:10.2639678Z
VN/Nghe An,IL/Hadarom,2022-11-26T15:56:21.5859462Z,2022-11-26T15:57:55.8332296Z,"[""27.72.41.166""]","[""BAV2ROPC""]",2022-11-26T15:56:21.5859462Z
US/Georgia,IN/Telangana,2022-11-26T15:58:05.9632433Z,2022-11-26T16:03:21.7036851Z,"[""73.21.66.78""]","[""BAV2ROPC""]",2022-11-26T15:58:05.9632433Z
IN/Telangana,CN/Gansu,2022-11-26T16:03:18.8619926Z,2022-11-26T16:03:27.6518960Z,"[""175.101.241.94""]","[""BAV2ROPC""]",2022-11-26T16:03:18.8619926Z
TW/New Taipei,CN/Hubei,2022-11-26T16:03:19.1215024Z,2022-11-26T16:04:59.7626142Z,"[""110.25.99.92""]","[""BAV2ROPC""]",2022-11-26T16:03:19.1215024Z
MX/Queretaro De Arteaga,CN/Shanghai Shi,2022-11-26T16:03:47.9409415Z,2022-11-26T16:04:10.4277410Z,"[""201.144.13.66""]","[""BAV2ROPC""]",2022-11-26T16:03:47.9409415Z
CN/Shanghai Shi,SD/Al Khartum,2022-11-26T16:04:10.4277410Z,2022-11-26T16:05:47.3898402Z,"[""113.31.107.164""]","[""BAV2ROPC""]",2022-11-26T16:04:10.4277410Z
CN/Hubei,VN/Nam Dinh,2022-11-26T16:05:02.4072968Z,2022-11-26T16:17:05.4890180Z,"[""219.139.192.226""]","[""BAV2ROPC""]",2022-11-26T16:05:02.4072968Z
VN/Nam Dinh,SD/Al Khartum,2022-11-26T16:17:02.7656021Z,2022-11-26T16:20:48.4017353Z,"[""27.72.46.25""]","[""BAV2ROPC""]",2022-11-26T16:17:02.7656021Z
SD/Al Khartum,TW/Kaohsiung,2022-11-26T16:20:43.2893614Z,2022-11-26T16:23:22.6429357Z,"[""196.1.213.77""]","[""BAV2ROPC""]",2022-11-26T16:20:43.2893614Z
TW/Kaohsiung,CN/Shaanxi,2022-11-26T16:23:12.1859518Z,2022-11-26T16:27:43.7395974Z,"[""61.221.176.89""]","[""BAV2ROPC""]",2022-11-26T16:23:12.1859518Z
UA/Krym Avtonomna Respublika,CN/Shaanxi,2022-11-26T16:25:11.3670513Z,2022-11-26T16:27:43.7395974Z,"[""195.88.112.99""]","[""BAV2ROPC""]",2022-11-26T16:25:11.3670513Z
CN/Shanghai Shi,KR/Jeollabuk-Do,2022-11-26T16:26:09.4137467Z,2022-11-26T16:28:29.1935400Z,"[""116.236.118.194""]","[""BAV2ROPC""]",2022-11-26T16:26:09.4137467Z
KR/Jeollabuk-Do,CN/Shanghai Shi,2022-11-26T16:26:14.0233477Z,2022-11-26T16:26:23.7953207Z,"[""59.2.33.99""]","[""BAV2ROPC""]",2022-11-26T16:26:14.0233477Z
ZA/Gauteng,CL/Region Metropolitana,2022-11-26T16:26:27.9628838Z,2022-11-26T16:38:41.2955526Z,"[""209.203.62.202""]","[""BAV2ROPC""]",2022-11-26T16:26:27.9628838Z
KW/Al Kuwayt,KR/Jeollabuk-Do,2022-11-26T16:27:03.6842428Z,2022-11-26T16:28:29.1935400Z,"[""94.187.243.151""]","[""BAV2ROPC""]",2022-11-26T16:27:03.6842428Z
ZA/Gauteng,KR/Jeollabuk-Do,2022-11-26T16:27:22.4227956Z,2022-11-26T16:28:29.1935400Z,"[""41.170.13.250""]","[""BAV2ROPC""]",2022-11-26T16:27:22.4227956Z
CN/Shaanxi,BR/Rio De Janeiro,2022-11-26T16:27:33.4647671Z,2022-11-26T16:29:59.8351703Z,"[""113.200.34.94""]","[""BAV2ROPC""]",2022-11-26T16:27:33.4647671Z
TW/Taichung,KR/Jeollabuk-Do,2022-11-26T16:27:48.0017594Z,2022-11-26T16:28:29.1935400Z,"[""123.205.58.165""]","[""BAV2ROPC""]",2022-11-26T16:27:48.0017594Z
UA/Donets'ka Oblast',RU/Moskva,2022-11-26T16:28:04.2849566Z,2022-11-26T16:29:11.6514133Z,"[""31.40.169.249""]","[""BAV2ROPC""]",2022-11-26T16:28:04.2849566Z
KR/Jeollabuk-Do,RU/Moskva,2022-11-26T16:28:23.3380707Z,2022-11-26T16:29:11.6514133Z,"[""175.202.14.150""]","[""BAV2ROPC""]",2022-11-26T16:28:23.3380707Z
BR/Rio De Janeiro,CN/Gansu,2022-11-26T16:29:54.6276733Z,2022-11-26T16:39:01.8090252Z,"[""170.231.143.10""]","[""BAV2ROPC""]",2022-11-26T16:29:54.6276733Z
IN/Uttar Pradesh,CL/Region Metropolitana,2022-11-26T16:30:18.7118563Z,2022-11-26T16:31:57.0789463Z,"[""59.152.41.75""]","[""BAV2ROPC""]",2022-11-26T16:30:18.7118563Z
CL/Region Metropolitana,PL/Wielkopolskie,2022-11-26T16:31:49.3635594Z,2022-11-26T16:43:26.7284070Z,"[""168.90.157.26""]","[""BAV2ROPC""]",2022-11-26T16:31:49.3635594Z
TH/Krung Thep,FR/Alpes-Maritimes,2022-11-26T16:32:11.5408557Z,2022-11-26T16:44:17.7191637Z,"[""180.180.123.38""]","[""BAV2ROPC""]",2022-11-26T16:32:11.5408557Z
CL/Region Metropolitana,SG/Central Singapore,2022-11-26T16:38:30.9993881Z,2022-11-26T16:48:02.2573777Z,"[""200.29.220.132""]","[""BAV2ROPC""]",2022-11-26T16:38:30.9993881Z
CN/Gansu,FR/Alpes-Maritimes,2022-11-26T16:38:51.2572642Z,2022-11-26T16:44:15.1822945Z,"[""118.182.32.16""]","[""BAV2ROPC""]",2022-11-26T16:38:51.2572642Z
CN/Shandong,FR/Alpes-Maritimes,2022-11-26T16:39:40.2281523Z,2022-11-26T16:44:15.1822945Z,"[""223.78.106.76""]","[""BAV2ROPC""]",2022-11-26T16:39:40.2281523Z
PL/Wielkopolskie,FR/Alpes-Maritimes,2022-11-26T16:43:26.7284070Z,2022-11-26T16:44:15.1822945Z,"[""195.130.197.84""]","[""BAV2ROPC""]",2022-11-26T16:43:26.7284070Z
CN/Hainan,US/North Carolina,2022-11-26T16:43:54.2442934Z,2022-11-26T16:48:46.8277584Z,"[""59.49.131.51""]","[""BAV2ROPC""]",2022-11-26T16:43:54.2442934Z
FR/Alpes-Maritimes,US/North Carolina,2022-11-26T16:44:09.9837436Z,2022-11-26T16:48:51.9102216Z,"[""185.16.223.100""]","[""BAV2ROPC""]",2022-11-26T16:44:09.9837436Z
US/Pennsylvania,SG/Central Singapore,2022-11-26T16:44:58.3396719Z,2022-11-26T16:48:02.2573777Z,"[""146.168.206.171""]","[""BAV2ROPC""]",2022-11-26T16:44:58.3396719Z
IN/Karnataka,US/North Carolina,2022-11-26T16:47:32.2308576Z,2022-11-26T16:48:46.8277584Z,"[""122.166.189.206""]","[""BAV2ROPC""]",2022-11-26T16:47:32.2308576Z
SG/Central Singapore,PK/Punjab,2022-11-26T16:47:57.1438211Z,2022-11-26T16:48:51.6999908Z,"[""128.199.72.244""]","[""BAV2ROPC""]",2022-11-26T16:47:57.1438211Z
US/North Carolina,CN/Hubei,2022-11-26T16:48:39.0777374Z,2022-11-26T16:49:10.1247576Z,"[""98.24.138.183""]","[""BAV2ROPC""]",2022-11-26T16:48:39.0777374Z
CN/Chongqing,CN/Hubei,2022-11-26T16:48:59.2798592Z,2022-11-26T16:49:10.1247576Z,"[""106.91.215.99""]","[""BAV2ROPC""]",2022-11-26T16:48:59.2798592Z
CN/Hubei,AR/Cordoba,2022-11-26T16:49:02.2970336Z,2022-11-26T16:51:35.6646835Z,"[""221.232.131.40""]","[""BAV2ROPC""]",2022-11-26T16:49:02.2970336Z
CN/Shandong,IT/Genova,2022-11-26T16:50:02.5321119Z,2022-11-26T16:51:54.9861253Z,"[""60.213.9.146""]","[""BAV2ROPC""]",2022-11-26T16:50:02.5321119Z
RU/Bashkortostan,MN/Ulaanbaatar,2022-11-26T16:50:23.4936291Z,2022-11-26T16:50:43.5940327Z,"[""94.41.0.165""]","[""BAV2ROPC""]",2022-11-26T16:50:23.4936291Z
MN/Ulaanbaatar,US/North Carolina,2022-11-26T16:50:43.5940327Z,2022-11-26T16:51:11.0088888Z,"[""103.50.206.243""]","[""BAV2ROPC""]",2022-11-26T16:50:43.5940327Z
US/North Carolina,KR/Gyeongsangnam-Do,2022-11-26T16:51:03.1384781Z,2022-11-26T16:58:28.4472491Z,"[""206.74.126.90""]","[""BAV2ROPC""]",2022-11-26T16:51:03.1384781Z
AR/Cordoba,KR/Gyeongsangnam-Do,2022-11-26T16:51:27.9539694Z,2022-11-26T16:58:28.4472491Z,"[""190.123.90.180""]","[""BAV2ROPC""]",2022-11-26T16:51:27.9539694Z
IT/Genova,MK/Bitola,2022-11-26T16:51:49.7576511Z,2022-11-26T16:58:55.6822740Z,"[""82.188.160.250""]","[""BAV2ROPC""]",2022-11-26T16:51:49.7576511Z
IT/Padova,CO/Santander,2022-11-26T16:57:20.5477991Z,2022-11-26T17:00:07.1884389Z,"[""79.28.98.24""]","[""BAV2ROPC""]",2022-11-26T16:57:20.5477991Z
CN/Shandong,CO/Santander,2022-11-26T16:57:51.0686037Z,2022-11-26T17:00:07.1884389Z,"[""111.225.204.158""]","[""BAV2ROPC""]",2022-11-26T16:57:51.0686037Z
KR/Gyeongsangnam-Do,MK/Bitola,2022-11-26T16:58:25.8087575Z,2022-11-26T16:58:55.6822740Z,"[""59.28.254.237""]","[""BAV2ROPC""]",2022-11-26T16:58:25.8087575Z
ZA/Gauteng,CO/Santander,2022-11-26T16:59:48.4381041Z,2022-11-26T17:00:07.1884389Z,"[""102.164.206.155""]","[""BAV2ROPC""]",2022-11-26T16:59:48.4381041Z
CN/Liaoning,KR/Gwangju Gwangyeoksi,2022-11-26T17:06:41.8369538Z,2022-11-26T17:07:01.9794231Z,"[""120.201.248.6""]","[""BAV2ROPC""]",2022-11-26T17:06:41.8369538Z
KR/Gwangju Gwangyeoksi,CN/Shanghai Shi,2022-11-26T17:07:01.9794231Z,2022-11-26T17:08:53.1672104Z,"[""115.23.23.90""]","[""BAV2ROPC""]",2022-11-26T17:07:01.9794231Z
CN/Hubei,BR/Rio De Janeiro,2022-11-26T17:22:08.1679662Z,2022-11-26T17:22:59.9460792Z,"[""61.184.160.34""]","[""BAV2ROPC""]",2022-11-26T17:22:08.1679662Z
BR/Rio De Janeiro,IN/Uttar Pradesh,2022-11-26T17:22:57.3400245Z,2022-11-26T17:23:26.3186453Z,"[""187.76.62.194""]","[""BAV2ROPC""]",2022-11-26T17:22:57.3400245Z
IN/Uttar Pradesh,CN/Chongqing,2022-11-26T17:23:13.1112155Z,2022-11-26T17:25:00.3958564Z,"[""103.146.233.40""]","[""BAV2ROPC""]",2022-11-26T17:23:13.1112155Z
ZA/Western Cape,FR/Pas-De-Calais,2022-11-26T17:51:49.0350307Z,2022-11-26T17:52:13.9075991Z,"[""197.214.117.195""]","[""BAV2ROPC""]",2022-11-26T17:51:49.0350307Z
FR/Pas-De-Calais,SG/Central Singapore,2022-11-26T17:52:06.1407113Z,2022-11-26T17:53:23.2993893Z,"[""193.200.116.148""]","[""BAV2ROPC""]",2022-11-26T17:52:06.1407113Z
CN/Shandong,ES/Sevilla,2022-11-26T17:52:27.2874154Z,2022-11-26T17:54:26.3858290Z,"[""60.216.3.126""]","[""BAV2ROPC""]",2022-11-26T17:52:27.2874154Z
MX/Guerrero,ES/Sevilla,2022-11-26T17:53:05.3913272Z,2022-11-26T17:54:31.5673577Z,"[""177.238.129.249""]","[""BAV2ROPC""]",2022-11-26T17:53:05.3913272Z
SG/Central Singapore,CN/Hubei,2022-11-26T17:53:20.7160178Z,2022-11-26T17:53:27.8936856Z,"[""193.5.25.10""]","[""BAV2ROPC""]",2022-11-26T17:53:20.7160178Z
CN/Hubei,IN/West Bengal,2022-11-26T17:53:25.3417595Z,2022-11-26T17:54:55.8774856Z,"[""219.138.75.14""]","[""BAV2ROPC""]",2022-11-26T17:53:25.3417595Z
ES/Sevilla,IN/West Bengal,2022-11-26T17:54:21.3128385Z,2022-11-26T17:54:58.4826823Z,"[""88.148.122.231""]","[""BAV2ROPC""]",2022-11-26T17:54:21.3128385Z
IN/West Bengal,IN/Uttar Pradesh,2022-11-26T17:54:45.5615689Z,2022-11-26T17:55:36.3734873Z,"[""122.176.27.63""]","[""BAV2ROPC""]",2022-11-26T17:54:45.5615689Z
CN/Shaanxi,TH/Krung Thep,2022-11-26T17:54:48.7953536Z,2022-11-26T17:55:10.8950035Z,"[""113.140.84.86""]","[""BAV2ROPC""]",2022-11-26T17:54:48.7953536Z
TH/Krung Thep,IN/West Bengal,2022-11-26T17:55:10.8950035Z,2022-11-26T17:55:48.9313300Z,"[""58.97.52.163""]","[""BAV2ROPC""]",2022-11-26T17:55:10.8950035Z
IN/Uttar Pradesh,CO/Caldas,2022-11-26T17:55:25.9883724Z,2022-11-26T17:55:58.5596611Z,"[""103.134.112.152""]","[""BAV2ROPC""]",2022-11-26T17:55:25.9883724Z
IN/West Bengal,CN/Shanxi,2022-11-26T17:55:35.5807796Z,2022-11-26T17:57:16.9270567Z,"[""182.75.197.174""]","[""BAV2ROPC""]",2022-11-26T17:55:35.5807796Z
KZ/Almaty City,KR/Jeju-Do,2022-11-26T18:11:58.0155664Z,2022-11-26T18:13:41.8298275Z,"[""88.204.217.246""]","[""BAV2ROPC""]",2022-11-26T18:11:58.0155664Z
KR/Jeju-Do,BR/Rio De Janeiro,2022-11-26T18:13:33.2635797Z,2022-11-26T18:17:47.2954912Z,"[""220.80.223.144""]","[""BAV2ROPC""]",2022-11-26T18:13:33.2635797Z
BR/Rio De Janeiro,SE/Jonkopings Lan,2022-11-26T18:17:36.4375881Z,2022-11-26T18:18:45.1225044Z,"[""177.43.179.143""]","[""BAV2ROPC""]",2022-11-26T18:17:36.4375881Z
SE/Jonkopings Lan,FR/Pas-De-Calais,2022-11-26T18:18:45.1225044Z,2022-11-26T18:19:43.7142787Z,"[""77.53.105.161""]","[""BAV2ROPC""]",2022-11-26T18:18:45.1225044Z
HK/Hong Kong,FR/Pas-De-Calais,2022-11-26T18:19:03.3405597Z,2022-11-26T18:19:43.7142787Z,"[""220.246.36.42""]","[""BAV2ROPC""]",2022-11-26T18:19:03.3405597Z
IN/Karnataka,IN/Uttarakhand,2022-11-26T18:39:15.9850983Z,2022-11-26T18:49:43.0268749Z,"[""203.192.247.86""]","[""BAV2ROPC""]",2022-11-26T18:39:15.9850983Z
IN/Uttarakhand,SD/Al Khartum,2022-11-26T18:49:40.3250663Z,2022-11-26T18:50:03.9061327Z,"[""103.15.253.93""]","[""BAV2ROPC""]",2022-11-26T18:49:40.3250663Z
SD/Al Khartum,RU/Dagestan,2022-11-26T18:49:58.1565173Z,2022-11-26T18:50:42.0249907Z,"[""196.1.219.9""]","[""BAV2ROPC""]",2022-11-26T18:49:58.1565173Z
RU/Dagestan,IN/Karnataka,2022-11-26T18:50:39.3523957Z,2022-11-26T18:50:59.5539891Z,"[""185.17.134.40""]","[""BAV2ROPC""]",2022-11-26T18:50:39.3523957Z
VN/Ha Tinh,KR/Gyeongsangnam-Do,2022-11-26T18:57:21.5442500Z,2022-11-26T19:07:44.0184419Z,"[""27.72.155.116""]","[""BAV2ROPC""]",2022-11-26T18:57:21.5442500Z
SD/Al Khartum,CN/Tianjin Shi,2022-11-26T18:58:01.3715898Z,2022-11-26T18:59:15.9778369Z,"[""196.29.167.54""]","[""BAV2ROPC""]",2022-11-26T18:58:01.3715898Z
KR/Gwangju Gwangyeoksi,KR/Gyeongsangnam-Do,2022-11-26T19:07:19.2525417Z,2022-11-26T19:07:36.2524250Z,"[""115.23.23.89""]","[""BAV2ROPC""]",2022-11-26T19:07:19.2525417Z
KR/Gyeongsangnam-Do,RU/Rostovskaya Oblast',2022-11-26T19:07:36.2524250Z,2022-11-26T19:08:25.3074471Z,"[""118.218.123.234""]","[""BAV2ROPC""]",2022-11-26T19:07:36.2524250Z
CN/Chongqing,CO/Caldas,2022-11-26T19:12:57.0790741Z,2022-11-26T19:14:24.3383432Z,"[""222.178.193.66""]","[""BAV2ROPC""]",2022-11-26T19:12:57.0790741Z
UA/Donets'ka Oblast',HK/Hong Kong,2022-11-26T19:33:17.1618092Z,2022-11-26T19:34:51.6586263Z,"[""176.101.121.148""]","[""BAV2ROPC""]",2022-11-26T19:33:17.1618092Z
FR/Seine-Maritime,BR/Minas Gerais,2022-11-26T19:34:06.3544333Z,2022-11-26T19:34:32.4988818Z,"[""176.146.157.17""]","[""BAV2ROPC""]",2022-11-26T19:34:06.3544333Z
BR/Minas Gerais,HK/Hong Kong,2022-11-26T19:34:27.3714078Z,2022-11-26T19:34:51.6586263Z,"[""189.113.186.174""]","[""BAV2ROPC""]",2022-11-26T19:34:27.3714078Z
HK/Hong Kong,CN/Xinjiang,2022-11-26T19:34:46.4511917Z,2022-11-26T19:37:16.7748901Z,"[""202.4.196.179""]","[""BAV2ROPC""]",2022-11-26T19:34:46.4511917Z
ES/Barcelona,CN/Xinjiang,2022-11-26T19:35:30.0876661Z,2022-11-26T19:37:16.7748901Z,"[""95.124.251.27""]","[""BAV2ROPC""]",2022-11-26T19:35:30.0876661Z
CN/Xinjiang,CN/Shandong,2022-11-26T19:37:13.9953056Z,2022-11-26T19:38:02.3284286Z,"[""124.119.118.129""]","[""BAV2ROPC""]",2022-11-26T19:37:13.9953056Z
CN/Shandong,CN/Shanxi,2022-11-26T19:38:02.3284286Z,2022-11-26T19:38:23.9777916Z,"[""58.58.43.238""]","[""BAV2ROPC""]",2022-11-26T19:38:02.3284286Z
US/Maine,FR/Hauts-De-Seine,2022-11-26T19:46:18.4974336Z,2022-11-26T19:57:10.4054344Z,"[""72.43.215.122""]","[""BAV2ROPC""]",2022-11-26T19:46:18.4974336Z
PT/Lisboa,HK/Hong Kong,2022-11-26T19:46:43.0495339Z,2022-11-26T19:48:08.7585773Z,"[""79.168.105.235""]","[""BAV2ROPC""]",2022-11-26T19:46:43.0495339Z
ES/Asturias,CI/Abidjan,2022-11-26T19:47:17.8035402Z,2022-11-26T19:57:45.4085153Z,"[""85.152.57.60""]","[""BAV2ROPC""]",2022-11-26T19:47:17.8035402Z
HK/Hong Kong,AZ/Baku,2022-11-26T19:48:00.5919111Z,2022-11-26T19:58:29.6701562Z,"[""223.255.146.2""]","[""BAV2ROPC""]",2022-11-26T19:48:00.5919111Z
FR/Hauts-De-Seine,AZ/Baku,2022-11-26T19:56:55.6283303Z,2022-11-26T19:58:29.6701562Z,"[""164.177.0.65""]","[""BAV2ROPC""]",2022-11-26T19:56:55.6283303Z
CI/Abidjan,AZ/Baku,2022-11-26T19:57:36.8074335Z,2022-11-26T19:58:29.6701562Z,"[""160.155.146.220""]","[""BAV2ROPC""]",2022-11-26T19:57:36.8074335Z
VN/Ha Noi,BD/Dhaka,2022-11-26T20:14:16.0056731Z,2022-11-26T20:15:07.8087994Z,"[""210.211.117.212""]","[""BAV2ROPC""]",2022-11-26T20:14:16.0056731Z
MX/Tabasco,SG/Central Singapore,2022-11-26T20:14:41.0421684Z,2022-11-26T20:15:07.1312587Z,"[""187.157.56.1""]","[""BAV2ROPC""]",2022-11-26T20:14:41.0421684Z
BD/Dhaka,IN/Odisha,2022-11-26T20:15:00.0459969Z,2022-11-26T20:15:55.2279988Z,"[""27.147.188.198""]","[""BAV2ROPC""]",2022-11-26T20:15:00.0459969Z
PK/Punjab,BG/Veliko Turnovo,2022-11-26T20:15:32.1022817Z,2022-11-26T20:16:27.9180621Z,"[""203.124.60.115""]","[""BAV2ROPC""]",2022-11-26T20:15:32.1022817Z
IN/Odisha,CN/Hubei,2022-11-26T20:15:52.6053958Z,2022-11-26T20:16:10.7475881Z,"[""125.21.120.90""]","[""BAV2ROPC""]",2022-11-26T20:15:52.6053958Z
CN/Hubei,BG/Veliko Turnovo,2022-11-26T20:16:10.7475881Z,2022-11-26T20:16:27.9180621Z,"[""122.188.105.6""]","[""BAV2ROPC""]",2022-11-26T20:16:10.7475881Z
BG/Veliko Turnovo,CN/Anhui,2022-11-26T20:16:27.9180621Z,2022-11-26T20:17:20.2674783Z,"[""89.25.87.34""]","[""BAV2ROPC""]",2022-11-26T20:16:27.9180621Z
ID/Jakarta Raya,US/Connecticut,2022-11-26T20:17:00.2708608Z,2022-11-26T20:23:55.7276738Z,"[""36.89.156.215""]","[""BAV2ROPC""]",2022-11-26T20:17:00.2708608Z
CN/Anhui,VN/Nghe An,2022-11-26T20:17:17.6721609Z,2022-11-26T20:26:47.8516381Z,"[""61.191.130.198""]","[""BAV2ROPC""]",2022-11-26T20:17:17.6721609Z
IN/Uttar Pradesh,BG/Pleven,2022-11-26T20:23:27.4010510Z,2022-11-26T20:34:57.6802309Z,"[""122.187.227.82""]","[""BAV2ROPC""]",2022-11-26T20:23:27.4010510Z
US/Connecticut,VN/Nghe An,2022-11-26T20:23:47.9191834Z,2022-11-26T20:26:47.8516381Z,"[""73.219.41.97""]","[""BAV2ROPC""]",2022-11-26T20:23:47.9191834Z
VN/Nghe An,BR/Goias,2022-11-26T20:26:45.2928370Z,2022-11-26T20:36:00.4297635Z,"[""27.72.41.169""]","[""BAV2ROPC""]",2022-11-26T20:26:45.2928370Z
BG/Pleven,BR/Goias,2022-11-26T20:34:52.5927057Z,2022-11-26T20:36:00.4297635Z,"[""31.211.132.82""]","[""BAV2ROPC""]",2022-11-26T20:34:52.5927057Z
RU/Moskva,MX/Queretaro De Arteaga,2022-11-26T20:36:02.2412318Z,2022-11-26T20:36:23.2237444Z,"[""185.108.161.20""]","[""BAV2ROPC""]",2022-11-26T20:36:02.2412318Z
CN/Qinghai,RU/Krasnodarskiy Kray,2022-11-26T20:40:12.0661796Z,2022-11-26T20:52:15.1208254Z,"[""110.166.231.225""]","[""BAV2ROPC""]",2022-11-26T20:40:12.0661796Z
ID/Jakarta Raya,RU/Krasnodarskiy Kray,2022-11-26T20:41:29.4202126Z,2022-11-26T20:52:15.1208254Z,"[""103.137.147.100""]","[""BAV2ROPC""]",2022-11-26T20:41:29.4202126Z
VN/Ninh Binh,RU/Krasnodarskiy Kray,2022-11-26T20:43:21.4114276Z,2022-11-26T20:52:15.1208254Z,"[""117.4.187.48""]","[""BAV2ROPC""]",2022-11-26T20:43:21.4114276Z
RU/Krasnodarskiy Kray,ID/Jakarta Raya,2022-11-26T20:52:07.1513960Z,2022-11-26T20:53:49.6364768Z,"[""109.248.47.9""]","[""BAV2ROPC""]",2022-11-26T20:52:07.1513960Z
ID/Jakarta Raya,IN/Gujarat,2022-11-26T20:53:41.3028958Z,2022-11-26T20:54:42.8980400Z,"[""103.138.54.108""]","[""BAV2ROPC""]",2022-11-26T20:53:41.3028958Z
IN/Gujarat,JM/Kingston,2022-11-26T20:54:34.8554757Z,2022-11-26T20:58:25.7548761Z,"[""182.70.126.208""]","[""BAV2ROPC""]",2022-11-26T20:54:34.8554757Z
CN/Liaoning,CZ/Pardubicky Kraj,2022-11-26T21:07:05.6466706Z,2022-11-26T21:16:50.0926805Z,"[""60.16.12.57""]","[""BAV2ROPC""]",2022-11-26T21:07:05.6466706Z
MX/Oaxaca,IL/Hamerkaz,2022-11-26T21:07:24.3660042Z,2022-11-26T21:07:51.9680125Z,"[""201.160.173.245""]","[""BAV2ROPC""]",2022-11-26T21:07:24.3660042Z
IL/Hamerkaz,CZ/Pardubicky Kraj,2022-11-26T21:07:46.5832932Z,2022-11-26T21:16:50.0926805Z,"[""84.110.106.78""]","[""BAV2ROPC""]",2022-11-26T21:07:46.5832932Z
CO/Caldas,ID/Jakarta Raya,2022-11-26T21:08:30.4311421Z,2022-11-26T21:16:28.1704148Z,"[""45.179.200.152""]","[""BAV2ROPC""]",2022-11-26T21:08:30.4311421Z
