locationString,EndLocationString,Start,End,ips,UAs,timestamp
RU/Vladimirskaya Oblast',BR/Rio De Janeiro,2022-11-26T11:41:28.5091965Z,2022-11-26T11:50:19.0665191Z,"[""94.158.116.175""]","[""BAV2ROPC""]",2022-11-26T11:41:28.5091965Z
KR/Incheon Gwangyeoksi,BR/Rio De Janeiro,2022-11-26T11:47:56.1129866Z,2022-11-26T11:50:19.0665191Z,"[""1.11.62.185""]","[""BAV2ROPC""]",2022-11-26T11:47:56.1129866Z
KW/Al Kuwayt,BR/Para,2022-11-26T12:01:28.6873383Z,2022-11-26T12:01:53.0737394Z,"[""94.187.240.175""]","[""BAV2ROPC""]",2022-11-26T12:01:28.6873383Z
AZ/Baku,CN/Shanghai Shi,2022-11-26T12:03:28.7190892Z,2022-11-26T12:03:58.0708907Z,"[""85.132.106.137""]","[""BAV2ROPC""]",2022-11-26T12:03:28.7190892Z
AT/Wien,US/Missouri,2022-11-26T12:17:11.8295898Z,2022-11-26T12:18:51.8871100Z,"[""212.152.216.141""]","[""BAV2ROPC""]",2022-11-26T12:17:11.8295898Z
CO/Caldas,IN/Gujarat,2022-11-26T12:27:42.3260341Z,2022-11-26T12:29:02.6142088Z,"[""186.179.100.0""]","[""BAV2ROPC""]",2022-11-26T12:27:42.3260341Z
ID/Maluku,CN/Qinghai,2022-11-26T12:42:15.9757022Z,2022-11-26T12:43:09.4755668Z,"[""103.147.142.44""]","[""BAV2ROPC""]",2022-11-26T12:42:15.9757022Z
CN/Qinghai,US/Illinois,2022-11-26T12:42:55.8843527Z,2022-11-26T12:43:15.9464640Z,"[""110.167.168.154""]","[""BAV2ROPC""]",2022-11-26T12:42:55.8843527Z
VN/Gia Lai,IN/Kerala,2022-11-26T12:49:51.8372509Z,2022-11-26T12:50:37.1560214Z,"[""117.2.105.172""]","[""BAV2ROPC""]",2022-11-26T12:49:51.8372509Z
IN/Kerala,BR/Rio De Janeiro,2022-11-26T12:50:31.9166759Z,2022-11-26T12:51:17.8057709Z,"[""103.85.204.98""]","[""BAV2ROPC""]",2022-11-26T12:50:31.9166759Z
UA/Vinnyts'ka Oblast',US/Alabama,2022-11-26T13:03:04.5378713Z,2022-11-26T13:12:34.1457847Z,"[""195.34.206.205""]","[""BAV2ROPC""]",2022-11-26T13:03:04.5378713Z
RU/Tatarstan,FR/Seine-Et-Marne,2022-11-26T13:12:48.9102120Z,2022-11-26T13:20:41.5839534Z,"[""92.255.199.164""]","[""BAV2ROPC""]",2022-11-26T13:12:48.9102120Z
FR/Seine-Et-Marne,PT/Lisboa,2022-11-26T13:20:30.9444451Z,2022-11-26T13:30:53.6035997Z,"[""31.32.208.250""]","[""BAV2ROPC""]",2022-11-26T13:20:30.9444451Z
PA/Chiriqui,IN/Karnataka,2022-11-26T13:21:52.8023756Z,2022-11-26T13:22:46.9258055Z,"[""190.219.196.113""]","[""BAV2ROPC""]",2022-11-26T13:21:52.8023756Z
ES/Las Palmas,CN/Guangxi,2022-11-26T13:31:18.3454189Z,2022-11-26T13:32:41.5663758Z,"[""185.216.128.118""]","[""BAV2ROPC""]",2022-11-26T13:31:18.3454189Z
CN/Guangxi,BR/Rondonia,2022-11-26T13:32:28.4775783Z,2022-11-26T13:32:57.4062041Z,"[""202.103.250.101""]","[""BAV2ROPC""]",2022-11-26T13:32:28.4775783Z
BR/Rondonia,BR/Espirito Santo,2022-11-26T13:32:57.4062041Z,2022-11-26T13:33:44.6195040Z,"[""191.37.220.34""]","[""BAV2ROPC""]",2022-11-26T13:32:57.4062041Z
JP/Gifu,BR/Espirito Santo,2022-11-26T13:33:12.0950841Z,2022-11-26T13:33:33.9765466Z,"[""223.165.81.245""]","[""BAV2ROPC""]",2022-11-26T13:33:12.0950841Z
IN/Telangana,PK/Punjab,2022-11-26T14:02:40.2126931Z,2022-11-26T14:03:19.9943463Z,"[""122.175.12.238""]","[""BAV2ROPC""]",2022-11-26T14:02:40.2126931Z
RU/Sverdlovskaya Oblast',PE/Lima Province,2022-11-26T14:03:40.4499869Z,2022-11-26T14:04:40.8664263Z,"[""178.46.181.226""]","[""BAV2ROPC""]",2022-11-26T14:03:40.4499869Z
KZ/Astana,FR/Paris,2022-11-26T14:08:34.9070471Z,2022-11-26T14:09:03.4645907Z,"[""91.185.6.130""]","[""BAV2ROPC""]",2022-11-26T14:08:34.9070471Z
KR/Busan Gwangyeoksi,IN/Karnataka,2022-11-26T14:10:17.9595490Z,2022-11-26T14:10:47.2705578Z,"[""121.144.15.62""]","[""BAV2ROPC""]",2022-11-26T14:10:17.9595490Z
RU/Buryatiya,RU/Moskva,2022-11-26T14:16:29.4216677Z,2022-11-26T14:16:57.8712942Z,"[""188.168.22.106""]","[""BAV2ROPC""]",2022-11-26T14:16:29.4216677Z
PL/Warminsko-Mazurskie,ID/Banten,2022-11-26T14:17:47.4397005Z,2022-11-26T14:18:15.2000009Z,"[""195.116.56.30""]","[""BAV2ROPC""]",2022-11-26T14:17:47.4397005Z
ID/Banten,CN/Shandong,2022-11-26T14:18:07.3547839Z,2022-11-26T14:22:13.9809440Z,"[""103.147.4.38""]","[""BAV2ROPC""]",2022-11-26T14:18:07.3547839Z
PA/Veraguas,NG/Lagos,2022-11-26T14:22:07.2170841Z,2022-11-26T14:22:34.5638338Z,"[""190.141.173.12""]","[""BAV2ROPC""]",2022-11-26T14:22:07.2170841Z
CO/Meta,BR/Rio De Janeiro,2022-11-26T14:28:11.6727735Z,2022-11-26T14:32:25.5765169Z,"[""186.190.226.0""]","[""BAV2ROPC""]",2022-11-26T14:28:11.6727735Z
PA/Panama,US/Illinois,2022-11-26T14:31:32.5103716Z,2022-11-26T14:40:17.2474221Z,"[""190.33.254.106""]","[""BAV2ROPC""]",2022-11-26T14:31:32.5103716Z
BR/Amapa,IT/Milano,2022-11-26T14:35:56.4451075Z,2022-11-26T14:37:51.3166851Z,"[""179.197.108.14""]","[""BAV2ROPC""]",2022-11-26T14:35:56.4451075Z
IN/Andhra Pradesh,PK/Punjab,2022-11-26T14:40:49.9167989Z,2022-11-26T14:41:21.5236539Z,"[""49.156.149.74""]","[""BAV2ROPC""]",2022-11-26T14:40:49.9167989Z
US/Kentucky,LY/Tarabulus,2022-11-26T14:57:03.7635838Z,2022-11-26T14:57:32.9618279Z,"[""169.136.33.185""]","[""BAV2ROPC""]",2022-11-26T14:57:03.7635838Z
LY/Tarabulus,IN/Uttar Pradesh,2022-11-26T14:57:19.9026788Z,2022-11-26T14:58:20.9576631Z,"[""165.16.106.206""]","[""BAV2ROPC""]",2022-11-26T14:57:19.9026788Z
VU/Shefa,PT/Porto,2022-11-26T15:09:01.3125026Z,2022-11-26T15:11:32.2515479Z,"[""103.75.20.178""]","[""BAV2ROPC""]",2022-11-26T15:09:01.3125026Z
IN/Odisha,CN/Shandong,2022-11-26T15:25:35.1173521Z,2022-11-26T15:26:47.4214054Z,"[""122.186.244.206""]","[""BAV2ROPC""]",2022-11-26T15:25:35.1173521Z
KZ/Pavlodar,KZ/Astana,2022-11-26T15:37:47.1632509Z,2022-11-26T15:38:56.3043431Z,"[""2.135.240.22""]","[""BAV2ROPC""]",2022-11-26T15:37:47.1632509Z
SE/Uppsala Lan,KZ/Astana,2022-11-26T15:38:24.6415663Z,2022-11-26T15:38:56.3043431Z,"[""79.136.112.163""]","[""BAV2ROPC""]",2022-11-26T15:38:24.6415663Z
AE/Dubayy,CN/Shanghai Shi,2022-11-26T15:40:05.7164825Z,2022-11-26T15:41:11.5464046Z,"[""91.72.187.242""]","[""BAV2ROPC""]",2022-11-26T15:40:05.7164825Z
BN/Brunei And Muara,CN/Shanghai Shi,2022-11-26T15:40:29.0727100Z,2022-11-26T15:41:11.5464046Z,"[""61.6.206.13""]","[""BAV2ROPC""]",2022-11-26T15:40:29.0727100Z
AT/Niederoesterreich,MK/Centar,2022-11-26T15:41:27.9991147Z,2022-11-26T15:41:48.2552369Z,"[""178.18.162.109""]","[""BAV2ROPC""]",2022-11-26T15:41:27.9991147Z
ES/Cadiz,AT/Niederoesterreich,2022-11-26T15:53:05.4913850Z,2022-11-26T15:55:04.7642946Z,"[""88.148.122.123""]","[""BAV2ROPC""]",2022-11-26T15:53:05.4913850Z
TW/Kaohsiung,CN/Shaanxi,2022-11-26T16:23:12.1859518Z,2022-11-26T16:27:43.7395974Z,"[""61.221.176.89""]","[""BAV2ROPC""]",2022-11-26T16:23:12.1859518Z
UA/Krym Avtonomna Respublika,CN/Shaanxi,2022-11-26T16:25:11.3670513Z,2022-11-26T16:27:43.7395974Z,"[""195.88.112.99""]","[""BAV2ROPC""]",2022-11-26T16:25:11.3670513Z
ZA/Gauteng,CL/Region Metropolitana,2022-11-26T16:26:27.9628838Z,2022-11-26T16:38:41.2955526Z,"[""209.203.62.202""]","[""BAV2ROPC""]",2022-11-26T16:26:27.9628838Z
UA/Donets'ka Oblast',RU/Moskva,2022-11-26T16:28:04.2849566Z,2022-11-26T16:29:11.6514133Z,"[""31.40.169.249""]","[""BAV2ROPC""]",2022-11-26T16:28:04.2849566Z
PL/Wielkopolskie,FR/Alpes-Maritimes,2022-11-26T16:43:26.7284070Z,2022-11-26T16:44:15.1822945Z,"[""195.130.197.84""]","[""BAV2ROPC""]",2022-11-26T16:43:26.7284070Z
FR/Alpes-Maritimes,US/North Carolina,2022-11-26T16:44:09.9837436Z,2022-11-26T16:48:51.9102216Z,"[""185.16.223.100""]","[""BAV2ROPC""]",2022-11-26T16:44:09.9837436Z
RU/Bashkortostan,MN/Ulaanbaatar,2022-11-26T16:50:23.4936291Z,2022-11-26T16:50:43.5940327Z,"[""94.41.0.165""]","[""BAV2ROPC""]",2022-11-26T16:50:23.4936291Z
MN/Ulaanbaatar,US/North Carolina,2022-11-26T16:50:43.5940327Z,2022-11-26T16:51:11.0088888Z,"[""103.50.206.243""]","[""BAV2ROPC""]",2022-11-26T16:50:43.5940327Z
AR/Cordoba,KR/Gyeongsangnam-Do,2022-11-26T16:51:27.9539694Z,2022-11-26T16:58:28.4472491Z,"[""190.123.90.180""]","[""BAV2ROPC""]",2022-11-26T16:51:27.9539694Z
IT/Genova,MK/Bitola,2022-11-26T16:51:49.7576511Z,2022-11-26T16:58:55.6822740Z,"[""82.188.160.250""]","[""BAV2ROPC""]",2022-11-26T16:51:49.7576511Z
IT/Padova,CO/Santander,2022-11-26T16:57:20.5477991Z,2022-11-26T17:00:07.1884389Z,"[""79.28.98.24""]","[""BAV2ROPC""]",2022-11-26T16:57:20.5477991Z
KR/Gwangju Gwangyeoksi,CN/Shanghai Shi,2022-11-26T17:07:01.9794231Z,2022-11-26T17:08:53.1672104Z,"[""115.23.23.90""]","[""BAV2ROPC""]",2022-11-26T17:07:01.9794231Z
MX/Guerrero,ES/Sevilla,2022-11-26T17:53:05.3913272Z,2022-11-26T17:54:31.5673577Z,"[""177.238.129.249""]","[""BAV2ROPC""]",2022-11-26T17:53:05.3913272Z
IN/West Bengal,IN/Uttar Pradesh,2022-11-26T17:54:45.5615689Z,2022-11-26T17:55:36.3734873Z,"[""122.176.27.63""]","[""BAV2ROPC""]",2022-11-26T17:54:45.5615689Z
CO/Antioquia,CO/Caldas,2022-11-26T17:56:03.8515064Z,2022-11-26T17:56:08.9680108Z,"[""186.179.100.0""]","[""BAV2ROPC""]",2022-11-26T17:56:03.8515064Z
KZ/Almaty City,KR/Jeju-Do,2022-11-26T18:11:58.0155664Z,2022-11-26T18:13:41.8298275Z,"[""88.204.217.246""]","[""BAV2ROPC""]",2022-11-26T18:11:58.0155664Z
KR/Jeju-Do,BR/Rio De Janeiro,2022-11-26T18:13:33.2635797Z,2022-11-26T18:17:47.2954912Z,"[""220.80.223.144""]","[""BAV2ROPC""]",2022-11-26T18:13:33.2635797Z
SE/Jonkopings Lan,FR/Pas-De-Calais,2022-11-26T18:18:45.1225044Z,2022-11-26T18:19:43.7142787Z,"[""77.53.105.161""]","[""BAV2ROPC""]",2022-11-26T18:18:45.1225044Z
HK/Hong Kong,FR/Pas-De-Calais,2022-11-26T18:19:03.3405597Z,2022-11-26T18:19:43.7142787Z,"[""220.246.36.42""]","[""BAV2ROPC""]",2022-11-26T18:19:03.3405597Z
IN/Uttarakhand,SD/Al Khartum,2022-11-26T18:49:40.3250663Z,2022-11-26T18:50:03.9061327Z,"[""103.15.253.93""]","[""BAV2ROPC""]",2022-11-26T18:49:40.3250663Z
RU/Dagestan,IN/Karnataka,2022-11-26T18:50:39.3523957Z,2022-11-26T18:50:59.5539891Z,"[""185.17.134.40""]","[""BAV2ROPC""]",2022-11-26T18:50:39.3523957Z
VN/Ha Tinh,KR/Gyeongsangnam-Do,2022-11-26T18:57:21.5442500Z,2022-11-26T19:07:44.0184419Z,"[""27.72.155.116""]","[""BAV2ROPC""]",2022-11-26T18:57:21.5442500Z
FR/Seine-Maritime,BR/Minas Gerais,2022-11-26T19:34:06.3544333Z,2022-11-26T19:34:32.4988818Z,"[""176.146.157.17""]","[""BAV2ROPC""]",2022-11-26T19:34:06.3544333Z
BR/Minas Gerais,HK/Hong Kong,2022-11-26T19:34:27.3714078Z,2022-11-26T19:34:51.6586263Z,"[""189.113.186.174""]","[""BAV2ROPC""]",2022-11-26T19:34:27.3714078Z
ES/Barcelona,CN/Xinjiang,2022-11-26T19:35:30.0876661Z,2022-11-26T19:37:16.7748901Z,"[""95.124.251.27""]","[""BAV2ROPC""]",2022-11-26T19:35:30.0876661Z
US/Maine,FR/Hauts-De-Seine,2022-11-26T19:46:18.4974336Z,2022-11-26T19:57:10.4054344Z,"[""72.43.215.122""]","[""BAV2ROPC""]",2022-11-26T19:46:18.4974336Z
FR/Hauts-De-Seine,AZ/Baku,2022-11-26T19:56:55.6283303Z,2022-11-26T19:58:29.6701562Z,"[""164.177.0.65""]","[""BAV2ROPC""]",2022-11-26T19:56:55.6283303Z
CI/Abidjan,AZ/Baku,2022-11-26T19:57:36.8074335Z,2022-11-26T19:58:29.6701562Z,"[""160.155.146.220""]","[""BAV2ROPC""]",2022-11-26T19:57:36.8074335Z
VN/Ha Noi,BD/Dhaka,2022-11-26T20:14:16.0056731Z,2022-11-26T20:15:07.8087994Z,"[""210.211.117.212""]","[""BAV2ROPC""]",2022-11-26T20:14:16.0056731Z
MX/Tabasco,SG/Central Singapore,2022-11-26T20:14:41.0421684Z,2022-11-26T20:15:07.1312587Z,"[""187.157.56.1""]","[""BAV2ROPC""]",2022-11-26T20:14:41.0421684Z
BD/Dhaka,IN/Odisha,2022-11-26T20:15:00.0459969Z,2022-11-26T20:15:55.2279988Z,"[""27.147.188.198""]","[""BAV2ROPC""]",2022-11-26T20:15:00.0459969Z
BG/Veliko Turnovo,CN/Anhui,2022-11-26T20:16:27.9180621Z,2022-11-26T20:17:20.2674783Z,"[""89.25.87.34""]","[""BAV2ROPC""]",2022-11-26T20:16:27.9180621Z
ID/Jakarta Raya,US/Connecticut,2022-11-26T20:17:00.2708608Z,2022-11-26T20:23:55.7276738Z,"[""36.89.156.215""]","[""BAV2ROPC""]",2022-11-26T20:17:00.2708608Z
CN/Anhui,VN/Nghe An,2022-11-26T20:17:17.6721609Z,2022-11-26T20:26:47.8516381Z,"[""61.191.130.198""]","[""BAV2ROPC""]",2022-11-26T20:17:17.6721609Z
US/Connecticut,VN/Nghe An,2022-11-26T20:23:47.9191834Z,2022-11-26T20:26:47.8516381Z,"[""73.219.41.97""]","[""BAV2ROPC""]",2022-11-26T20:23:47.9191834Z
BG/Pleven,BR/Goias,2022-11-26T20:34:52.5927057Z,2022-11-26T20:36:00.4297635Z,"[""31.211.132.82""]","[""BAV2ROPC""]",2022-11-26T20:34:52.5927057Z
IL/Hamerkaz,CZ/Pardubicky Kraj,2022-11-26T21:07:46.5832932Z,2022-11-26T21:16:50.0926805Z,"[""84.110.106.78""]","[""BAV2ROPC""]",2022-11-26T21:07:46.5832932Z
SG/North West,AU/New South Wales,2022-11-26T21:13:18.3559753Z,2022-11-26T21:13:23.5039494Z,"[""173.245.211.240""]","[""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62""]",2022-11-26T21:13:18.3559753Z
CZ/Pardubicky Kraj,BG/Burgas,2022-11-26T21:16:44.9841423Z,2022-11-26T21:17:19.3504939Z,"[""193.104.67.114""]","[""BAV2ROPC""]",2022-11-26T21:16:44.9841423Z
ZW/Harare,US/Georgia,2022-11-26T21:58:26.8767650Z,2022-11-26T21:59:34.1304700Z,"[""154.120.246.26""]","[""BAV2ROPC""]",2022-11-26T21:58:26.8767650Z
ES/Alicante,RU/Bashkortostan,2022-11-26T22:18:04.3975399Z,2022-11-26T22:18:25.8487403Z,"[""78.136.126.190""]","[""BAV2ROPC""]",2022-11-26T22:18:04.3975399Z
CN/Guizhou,CO/Caldas,2022-11-26T22:55:03.9286801Z,2022-11-26T22:56:33.0354130Z,"[""119.1.239.211""]","[""BAV2ROPC""]",2022-11-26T22:55:03.9286801Z
TW/Keelung,IN/Punjab,2022-11-26T23:04:45.4938415Z,2022-11-26T23:13:19.1715866Z,"[""61.63.155.145""]","[""BAV2ROPC""]",2022-11-26T23:04:45.4938415Z
GB/Lancashire,KR/Daejeon Gwangyeoksi,2022-11-26T23:04:55.2335644Z,2022-11-26T23:12:32.0996104Z,"[""213.40.69.111""]","[""BAV2ROPC""]",2022-11-26T23:04:55.2335644Z
IR/Kermanshah,CN/Hunan,2022-11-26T23:07:51.4223668Z,2022-11-26T23:14:06.1571911Z,"[""94.183.8.200""]","[""BAV2ROPC""]",2022-11-26T23:07:51.4223668Z
KR/Daejeon Gwangyeoksi,IN/Punjab,2022-11-26T23:12:32.0996104Z,2022-11-26T23:13:19.1715866Z,"[""121.153.134.28""]","[""BAV2ROPC""]",2022-11-26T23:12:32.0996104Z
IN/Punjab,CN/Hunan,2022-11-26T23:13:10.5700924Z,2022-11-26T23:14:00.9253462Z,"[""103.141.115.243""]","[""BAV2ROPC""]",2022-11-26T23:13:10.5700924Z
CN/Hunan,CO/Distrito Capital,2022-11-26T23:13:58.3046732Z,2022-11-26T23:14:44.4050211Z,"[""111.23.119.190""]","[""BAV2ROPC""]",2022-11-26T23:13:58.3046732Z
CO/Distrito Capital,SG/Central Singapore,2022-11-26T23:14:39.1735963Z,2022-11-26T23:19:34.5162353Z,"[""200.91.234.36""]","[""BAV2ROPC""]",2022-11-26T23:14:39.1735963Z
RU/Altayskiy Kray,CN/Anhui,2022-11-26T23:19:08.5860864Z,2022-11-26T23:19:51.8780564Z,"[""93.189.221.163""]","[""BAV2ROPC""]",2022-11-26T23:19:08.5860864Z
RU/Samarskaya Oblast',US/Georgia,2022-11-26T23:20:33.6993069Z,2022-11-26T23:21:56.7660323Z,"[""46.29.77.70""]","[""BAV2ROPC""]",2022-11-26T23:20:33.6993069Z
ZA/Kwazulu-Natal,BO/La Paz,2022-11-26T23:31:23.3214378Z,2022-11-26T23:31:42.7182845Z,"[""102.23.252.185""]","[""BAV2ROPC""]",2022-11-26T23:31:23.3214378Z
GQ/Litoral,RO/Suceava,2022-11-26T23:34:23.7074145Z,2022-11-26T23:35:32.6272370Z,"[""41.79.50.29""]","[""BAV2ROPC""]",2022-11-26T23:34:23.7074145Z
RO/Suceava,KR/Gwangju Gwangyeoksi,2022-11-26T23:35:24.9401709Z,2022-11-26T23:35:35.3672968Z,"[""89.45.228.210""]","[""BAV2ROPC""]",2022-11-26T23:35:24.9401709Z
RU/Voronezhskaya Oblast',KZ/Pavlodar,2022-11-26T23:45:48.6687949Z,2022-11-26T23:46:48.4434385Z,"[""85.113.142.96""]","[""BAV2ROPC""]",2022-11-26T23:45:48.6687949Z
RU/Tyumenskaya Oblast',KZ/Pavlodar,2022-11-26T23:46:08.1991918Z,2022-11-26T23:46:56.4116272Z,"[""178.46.157.217""]","[""BAV2ROPC""]",2022-11-26T23:46:08.1991918Z
BR/Parana,KW/Al Kuwayt,2022-11-26T23:46:27.9625740Z,2022-11-26T23:52:06.2498746Z,"[""45.188.198.124""]","[""BAV2ROPC""]",2022-11-26T23:46:27.9625740Z
RU/Moskovskaya Oblast',ID/Jakarta Raya,2022-11-27T00:16:22.5002456Z,2022-11-27T00:17:41.0606383Z,"[""5.35.71.94""]","[""BAV2ROPC""]",2022-11-27T00:16:22.5002456Z
RU/Primorskiy Kray,IN/West Bengal,2022-11-27T00:29:23.9386178Z,2022-11-27T00:30:38.8914084Z,"[""91.227.28.137""]","[""BAV2ROPC""]",2022-11-27T00:29:23.9386178Z
TN/Tunis,IN/Gujarat,2022-11-27T01:24:17.7745413Z,2022-11-27T01:27:28.3728346Z,"[""41.231.85.76""]","[""BAV2ROPC""]",2022-11-27T01:24:17.7745413Z
CL/Valparaiso,IN/Gujarat,2022-11-27T01:26:52.1764159Z,2022-11-27T01:27:28.3728346Z,"[""200.120.143.74""]","[""BAV2ROPC""]",2022-11-27T01:26:52.1764159Z
IR/Gilan,RU/Moskva,2022-11-27T01:28:40.1638938Z,2022-11-27T01:29:09.1710652Z,"[""2.187.18.194""]","[""BAV2ROPC""]",2022-11-27T01:28:40.1638938Z
CH/Aargau,RU/Penzenskaya Oblast',2022-11-27T01:30:57.5718698Z,2022-11-27T01:41:55.5250259Z,"[""46.126.152.191""]","[""BAV2ROPC""]",2022-11-27T01:30:57.5718698Z
ID/Nusa Tenggara Timur,RU/Penzenskaya Oblast',2022-11-27T01:40:40.1612728Z,2022-11-27T01:41:55.5250259Z,"[""103.71.224.219""]","[""BAV2ROPC""]",2022-11-27T01:40:40.1612728Z
RU/Penzenskaya Oblast',VN/Ha Tinh,2022-11-27T01:41:55.5250259Z,2022-11-27T01:45:44.2957467Z,"[""85.237.55.203""]","[""BAV2ROPC""]",2022-11-27T01:41:55.5250259Z
RU/Omskaya Oblast',IN/Andhra Pradesh,2022-11-27T01:57:06.5339615Z,2022-11-27T01:57:46.9064850Z,"[""92.124.148.31""]","[""BAV2ROPC""]",2022-11-27T01:57:06.5339615Z
MX/Distrito Federal,FR/Paris,2022-11-27T02:16:23.8623760Z,2022-11-27T02:22:45.9413757Z,"[""201.168.130.242""]","[""BAV2ROPC""]",2022-11-27T02:16:23.8623760Z
GD/Saint Andrew,CO/Distrito Capital,2022-11-27T02:20:24.1668251Z,2022-11-27T02:20:56.4655722Z,"[""199.83.199.78""]","[""BAV2ROPC""]",2022-11-27T02:20:24.1668251Z
IT/Torino,CN/Shaanxi,2022-11-27T02:21:48.4438685Z,2022-11-27T02:30:10.8206616Z,"[""37.159.240.182""]","[""BAV2ROPC""]",2022-11-27T02:21:48.4438685Z
KE/Nairobi Area,IR/Ilam,2022-11-27T02:30:13.2706955Z,2022-11-27T02:30:48.0290482Z,"[""197.237.29.186""]","[""BAV2ROPC""]",2022-11-27T02:30:13.2706955Z
IT/Venezia,ZA/Gauteng,2022-11-27T02:38:19.9855458Z,2022-11-27T02:38:52.2110288Z,"[""151.0.197.42""]","[""BAV2ROPC""]",2022-11-27T02:38:19.9855458Z
VN/Hai Duong,BZ/Belize,2022-11-27T02:42:12.1271194Z,2022-11-27T02:43:32.0096505Z,"[""117.6.254.186""]","[""BAV2ROPC""]",2022-11-27T02:42:12.1271194Z
BZ/Belize,CO/Tolima,2022-11-27T02:43:21.0448813Z,2022-11-27T02:44:20.4901089Z,"[""179.51.253.124""]","[""BAV2ROPC""]",2022-11-27T02:43:21.0448813Z
CO/Tolima,KR/Daegu Gwangyeoksi,2022-11-27T02:44:12.8307247Z,2022-11-27T02:44:59.6470116Z,"[""186.96.121.87""]","[""BAV2ROPC""]",2022-11-27T02:44:12.8307247Z
KZ/Zhambyl,SG/South West,2022-11-27T03:00:35.2316148Z,2022-11-27T03:01:02.6977924Z,"[""5.63.103.254""]","[""BAV2ROPC""]",2022-11-27T03:00:35.2316148Z
SG/South West,PL/Warminsko-Mazurskie,2022-11-27T03:00:52.4239179Z,2022-11-27T03:12:45.2433325Z,"[""220.255.200.124""]","[""BAV2ROPC""]",2022-11-27T03:00:52.4239179Z
US/West Virginia,ID/Papua,2022-11-27T03:14:18.3655154Z,2022-11-27T03:24:37.3690533Z,"[""50.127.177.194""]","[""BAV2ROPC""]",2022-11-27T03:14:18.3655154Z
MW/Lilongwe,SG/Central Singapore,2022-11-27T03:15:02.5017249Z,2022-11-27T03:24:01.6531384Z,"[""41.222.185.198""]","[""BAV2ROPC""]",2022-11-27T03:15:02.5017249Z
AR/Salta,SG/Central Singapore,2022-11-27T03:23:31.6881707Z,2022-11-27T03:24:01.6531384Z,"[""181.209.102.50""]","[""BAV2ROPC""]",2022-11-27T03:23:31.6881707Z
ID/Papua,CN/Gansu,2022-11-27T03:24:26.8698642Z,2022-11-27T03:26:26.2435377Z,"[""203.99.106.235""]","[""BAV2ROPC""]",2022-11-27T03:24:26.8698642Z
UA/Kharkivs'ka Oblast',ES/Barcelona,2022-11-27T03:29:01.0867199Z,2022-11-27T03:33:05.6788314Z,"[""91.239.77.222""]","[""BAV2ROPC""]",2022-11-27T03:29:01.0867199Z
TR/Ankara,HK/Hong Kong,2022-11-27T04:04:08.5013982Z,2022-11-27T04:09:07.7836863Z,"[""212.175.63.126""]","[""BAV2ROPC""]",2022-11-27T04:04:08.5013982Z
CL/Libertador General Bernardo O'higgins,BR/Minas Gerais,2022-11-27T04:07:56.9071772Z,2022-11-27T04:10:46.4370725Z,"[""45.165.170.41""]","[""BAV2ROPC""]",2022-11-27T04:07:56.9071772Z
CR/Guanacaste,BR/Minas Gerais,2022-11-27T04:10:11.7800440Z,2022-11-27T04:10:46.4370725Z,"[""201.191.123.132""]","[""BAV2ROPC""]",2022-11-27T04:10:11.7800440Z
NL/Zuid-Holland,AU/New South Wales,2022-11-27T04:51:57.0727685Z,2022-11-27T05:01:25.5112711Z,"[""188.202.206.1""]","[""BAV2ROPC""]",2022-11-27T04:51:57.0727685Z
BR/Mato Grosso Do Sul,PL/Wielkopolskie,2022-11-27T04:59:28.5392891Z,2022-11-27T05:09:39.4164180Z,"[""168.194.80.36""]","[""BAV2ROPC""]",2022-11-27T04:59:28.5392891Z
KR/Gangwon-Do,CN/Anhui,2022-11-27T05:00:04.9312862Z,2022-11-27T05:09:10.4562270Z,"[""211.169.212.206""]","[""BAV2ROPC""]",2022-11-27T05:00:04.9312862Z
KR/Chungcheongnam-Do,CN/Anhui,2022-11-27T05:02:16.5264230Z,2022-11-27T05:05:18.5913076Z,"[""14.6.16.137""]","[""BAV2ROPC""]",2022-11-27T05:02:16.5264230Z
ZA/Mpumalanga,CN/Anhui,2022-11-27T05:03:27.6005911Z,2022-11-27T05:05:18.5913076Z,"[""102.23.252.214""]","[""BAV2ROPC""]",2022-11-27T05:03:27.6005911Z
AR/Ciudad De Buenos Aires,NG/Lagos,2022-11-27T05:11:09.3143363Z,2022-11-27T05:22:37.3588231Z,"[""200.32.84.13""]","[""BAV2ROPC""]",2022-11-27T05:11:09.3143363Z
RO/Timis,CN/Xinjiang,2022-11-27T05:45:02.2635162Z,2022-11-27T05:46:32.7633625Z,"[""95.76.220.209""]","[""BAV2ROPC""]",2022-11-27T05:45:02.2635162Z
FR/Herault,SD/Al Khartum,2022-11-27T05:50:28.0660347Z,2022-11-27T06:03:26.8616279Z,"[""78.246.20.58""]","[""BAV2ROPC""]",2022-11-27T05:50:28.0660347Z
MX/Jalisco,SD/Al Khartum,2022-11-27T05:51:03.3067462Z,2022-11-27T06:03:26.8616279Z,"[""201.167.95.53""]","[""BAV2ROPC""]",2022-11-27T05:51:03.3067462Z
FR/Nord,SD/Al Khartum,2022-11-27T06:01:25.3647063Z,2022-11-27T06:03:26.8616279Z,"[""92.222.171.6""]","[""BAV2ROPC""]",2022-11-27T06:01:25.3647063Z
